genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
RM19-2764,CAS,HIF 6,2020,1,24,30,P,8,t,1.5,41,985.4,15.7,NA,47.25,20.99
RM19-2764,CAS,HIF 6,2020,2,24,49,P,8,t,1.5,42,917.3,15.2,NA,47.65,20.62
RM19-2764,CAS,HIF 6,2020,3,24,72,P,NA,t,NA,NA,1109.2,16.2,NA,48.1,20.78
RM19-2765,CAS,HIF 6,2020,1,25,10,P,8,t,2,48,968.7,17,NA,44.82,22.82
RM19-2765,CAS,HIF 6,2020,2,25,38,P,8,t,2,46,1102.3,16,NA,44.04,23.16
RM19-2765,CAS,HIF 6,2020,3,25,85,P,NA,t,NA,NA,1059.1,17.7,NA,43.37,23.13
RM19-2768,CAS,HIF 6,2020,1,26,3,P,8,t,2,48,1003.3,15.6,NA,48.39,20.49
RM19-2768,CAS,HIF 6,2020,2,26,39,P,8,t,2.5,47,1020.2,14.4,NA,47.2,21.04
RM19-2768,CAS,HIF 6,2020,3,26,65,P,NA,t,NA,NA,969.8,14.3,NA,47.39,20.49
RM19-2774,CAS,HIF 6,2020,1,27,21,P,8,g,3,46,1007.9,13.9,NA,50.49,18.01
RM19-2774,CAS,HIF 6,2020,2,27,53,P,8,g,2.5,41,943.3,12.3,NA,49.2,19.02
RM19-2774,CAS,HIF 6,2020,3,27,89,P,NA,g,NA,NA,913.2,12.7,NA,50.76,18.07
Ellis,CAS,HIF 6,2020,1,28,22,W,8,g,1,26,1122.4,12.4,NA,43.74,21.6
Ellis,CAS,HIF 6,2020,2,28,47,W,8,g,1,27,1033.1,11.7,NA,42.74,21.73
Ellis,CAS,HIF 6,2020,3,28,77,W,NA,g,NA,NA,1102.3,11.9,NA,42.72,21.94
Osage,CAS,HIF 6,2020,1,29,16,P,8,g,1,26,1206.7,13.2,NA,44.85,21.52
Osage,CAS,HIF 6,2020,2,29,44,P,8,g,1,29,1156.7,13.3,NA,45.83,20.71
Osage,CAS,HIF 6,2020,3,29,84,P,NA,g,NA,NA,1329.3,15,NA,45.5,21.26
Dunphy,CAS,HIF 6,2020,1,30,11,P,8,g,1,25,1101.9,14.4,NA,41.31,22.19
Dunphy,CAS,HIF 6,2020,2,30,48,P,8,g,1,26,1198.1,13.3,NA,42.07,21.98
Dunphy,CAS,HIF 6,2020,3,30,68,P,NA,g,NA,NA,1216.2,13.1,NA,41.83,21.85
RM19-2657,CLA,HIF 6,2020,1,1,6,p,42,T,2,33,1395.4,14.5,3,44.39,22.15
RM19-2657,CLA,HIF 6,2020,2,1,36,p,45,T,1.5,31,1366.2,15.3,3,42.82,22.88
RM19-2657,CLA,HIF 6,2020,3,1,85,p,58,T,NA,NA,1152.9,15.2,NA,44.23,22.65
RM19-2678,CLA,HIF 6,2020,1,2,23,p,40,G,1.5,26,1135.1,14.9,3,46.63,20.99
RM19-2678,CLA,HIF 6,2020,2,2,37,p,37,G,1,24,1417.9,15.6,3,46.13,21.43
RM19-2678,CLA,HIF 6,2020,3,2,84,p,58,G,NA,NA,946.4,13.9,NA,48.07,20.19
RM19-2686,CLA,HIF 6,2020,1,3,11,p,42,G,1.5,36,1508.6,15.8,3.5,43.87,21.45
RM19-2686,CLA,HIF 6,2020,2,3,33,p,40,G,1.5,34,1252.7,15.7,3,43.21,22.19
RM19-2686,CLA,HIF 6,2020,3,3,73,p,58,G,NA,NA,1227.8,15.9,NA,44.12,21.68
RM19-2688,CLA,HIF 6,2020,1,4,9,p,39,T,1.5,30,1554.1,16.5,3,42.62,23.04
RM19-2688,CLA,HIF 6,2020,2,4,59,p,39,T,1.5,34,1400.5,15.8,3,42.57,22.93
RM19-2688,CLA,HIF 6,2020,3,4,90,p,39,T,NA,NA,1354.3,16.7,NA,43.68,22.5
RM19-2690,CLA,HIF 6,2020,1,5,22,p,49,G,1.5,36,1057,14.2,3.5,48.86,19.66
RM19-2690,CLA,HIF 6,2020,2,5,43,p,45,G,1.5,30,885.4,14,3.5,48.67,20.32
RM19-2690,CLA,HIF 6,2020,3,5,72,p,41,G,NA,NA,1133.4,15.3,NA,47.63,20.39
RM19-2691,CLA,HIF 6,2020,1,6,16,p,50,G,2.5,38,1587.3,15.9,2.5,48.45,19.74
RM19-2691,CLA,HIF 6,2020,2,6,44,p,49,G,2,48,1344.7,15.4,2.5,48.93,19.63
RM19-2691,CLA,HIF 6,2020,3,6,68,p,44,G,NA,NA,1171.6,15.2,NA,47.71,19.96
RM19-2696,CLA,HIF 6,2020,1,7,27,p,45,G,2,46,992.9,17.6,3,43.32,21.4
RM19-2696,CLA,HIF 6,2020,2,7,52,p,48,G,2,44,1491.3,19.2,2.5,42.96,22
RM19-2696,CLA,HIF 6,2020,3,7,64,p,48,G,NA,NA,1405.3,18.6,NA,43.95,21.28
RM19-2697,CLA,HIF 6,2020,1,8,20,p,46,G,2.5,50,1527,18.2,3,43.7,21.88
RM19-2697,CLA,HIF 6,2020,2,8,51,p,46,G,2,44,1321.4,19.6,2.5,42.82,22.3
RM19-2697,CLA,HIF 6,2020,3,8,88,p,58,G,NA,NA,1323.6,19.8,NA,42.67,22.39
RM19-2713,CLA,HIF 6,2020,1,9,13,p,39,T,1.5,26,1370.1,17.6,3,42.67,22.76
RM19-2713,CLA,HIF 6,2020,2,9,49,p,39,T,1.5,32,1462.3,17.3,3,43.28,23.14
RM19-2713,CLA,HIF 6,2020,3,9,61,p,39,T,NA,NA,1153.6,15.3,NA,42.72,22.96
RM19-2714,CLA,HIF 6,2020,1,10,29,p,40,T,1.5,30,1252.6,16.6,3,42.36,22.35
RM19-2714,CLA,HIF 6,2020,2,10,34,p,38,T,1.5,30,1469.9,16.6,3,40.73,23.57
RM19-2714,CLA,HIF 6,2020,3,10,63,p,41,T,NA,NA,1317.9,16.6,NA,43.2,22.26
RM19-2717,CLA,HIF 6,2020,1,11,28,p,39,T,1.5,28,1187,15,3.5,41.37,23.53
RM19-2717,CLA,HIF 6,2020,2,11,40,p,42,T,1.5,32,1111.4,14.5,4,42.85,23.08
RM19-2717,CLA,HIF 6,2020,3,11,79,p,39,T,NA,NA,1118,16,NA,42.01,23.29
RM19-2718,CLA,HIF 6,2020,1,12,10,p,39,T,1.5,31,1515,15.7,3,42.59,23.58
RM19-2718,CLA,HIF 6,2020,2,12,31,p,42,T,1.5,32,1321.5,15.4,3,42.29,23.18
RM19-2718,CLA,HIF 6,2020,3,12,75,p,39,T,NA,NA,1412.4,15.6,NA,41.59,24.15
RM19-2719,CLA,HIF 6,2020,1,13,14,p,38,T,1.5,33,1180,16.7,3,42.98,22.82
RM19-2719,CLA,HIF 6,2020,2,13,35,p,38,T,1.5,29,1513.2,16.6,3,40.73,23.81
RM19-2719,CLA,HIF 6,2020,3,13,86,p,39,T,NA,NA,1191.5,16.6,NA,42.44,23.49
RM19-2725,CLA,HIF 6,2020,1,14,19,p,44,G,1.5,30,1419,14.6,3,41.88,22.81
RM19-2725,CLA,HIF 6,2020,2,14,57,p,42,G,1.5,31,1452.8,15.5,2.5,41.63,22.97
RM19-2725,CLA,HIF 6,2020,3,14,82,p,42,G,NA,NA,1119.9,15,NA,42.39,22.36
RM19-2726,CLA,HIF 6,2020,1,15,8,p,39,G,1.5,33,1371.6,15.5,2,44.37,21.63
RM19-2726,CLA,HIF 6,2020,2,15,32,p,39,G,1,30,1133.1,14.4,3,46.1,21.17
RM19-2726,CLA,HIF 6,2020,3,15,89,p,39,G,NA,NA,1347.5,15.6,NA,45.3,21.58
RM19-2728,CLA,HIF 6,2020,1,16,25,p,42,G,3,48,1175.6,15.1,3.5,48.24,19.96
RM19-2728,CLA,HIF 6,2020,2,16,47,p,41,G,3,48,1047,14.6,3,47.58,20.92
RM19-2728,CLA,HIF 6,2020,3,16,81,p,40,G,NA,NA,1054.2,14.1,NA,48.48,19.71
RM19-2747,CLA,HIF 6,2020,1,17,24,p,51,T,2,28,1153.5,13.8,3,49.17,19.59
RM19-2747,CLA,HIF 6,2020,2,17,56,p,42,T,2,35,1278.4,14.9,2,48.58,20.03
RM19-2747,CLA,HIF 6,2020,3,17,80,p,41,T,NA,NA,1039.9,13.8,NA,48.81,20.07
RM19-2749,CLA,HIF 6,2020,1,18,30,p,48,T,2,32,1206.5,13.9,2.5,50.15,18.94
RM19-2749,CLA,HIF 6,2020,2,18,60,p,42,T,2,36,1402.1,14.7,2.5,48.88,19.95
RM19-2749,CLA,HIF 6,2020,3,18,67,p,48,T,NA,NA,1367.9,15.1,NA,49.25,20.31
RM19-2750,CLA,HIF 6,2020,1,19,26,p,42,T,2,34,1202.1,14.3,2.5,49.16,19.78
RM19-2750,CLA,HIF 6,2020,2,19,50,p,46,T,1.5,37,950.4,13.9,3,49.7,19.23
RM19-2750,CLA,HIF 6,2020,3,19,78,p,41,T,NA,NA,1072.2,14.3,NA,49.84,19.61
RM19-2751,CLA,HIF 6,2020,1,20,21,p,50,T,1.5,34,956,14.5,3,50.41,19.74
RM19-2751,CLA,HIF 6,2020,2,20,54,p,46,T,2,34,1169.2,15,3,50.47,19.88
RM19-2751,CLA,HIF 6,2020,3,20,69,p,40,T,NA,NA,1117.3,15.5,NA,50.07,19.98
RM19-2752,CLA,HIF 6,2020,1,21,17,p,53,G,4.5,44,872.4,13.5,3.5,44.47,20.57
RM19-2752,CLA,HIF 6,2020,2,21,42,p,53,G,3,50,715,12.7,4.5,45.27,20.39
RM19-2752,CLA,HIF 6,2020,3,21,83,p,58,G,NA,NA,852.6,12.6,NA,45.88,20.17
RM19-2753,CLA,HIF 6,2020,1,22,3,p,52,G,3.5,44,1217.8,14.3,3,44.57,20.72
RM19-2753,CLA,HIF 6,2020,2,22,39,p,53,G,3.5,38,975.6,13,3,46.38,19.93
RM19-2753,CLA,HIF 6,2020,3,22,62,p,58,G,NA,NA,920.1,13.2,NA,45.62,20.2
RM19-2754,CLA,HIF 6,2020,1,23,2,p,53,G,4.5,35,925.4,12.4,3,49,18.8
RM19-2754,CLA,HIF 6,2020,2,23,48,p,55,G,3.5,44,1000.9,13.5,3,49.63,18.64
RM19-2754,CLA,HIF 6,2020,3,23,76,p,58,G,NA,NA,869.9,13,NA,49.64,18.78
RM19-2764,CLA,HIF 6,2020,1,24,7,p,41,T,4,47,980,15.1,3,50.56,19.54
RM19-2764,CLA,HIF 6,2020,2,24,45,p,39,T,3.5,46,1186.5,15.3,2.5,49.1,20.55
RM19-2764,CLA,HIF 6,2020,3,24,71,p,41,T,NA,NA,966.8,15.3,NA,48.72,19.8
RM19-2765,CLA,HIF 6,2020,1,25,12,p,45,T,4,52,1033.7,16.5,3,44.56,22.43
RM19-2765,CLA,HIF 6,2020,2,25,46,p,45,T,4,50,1204.5,16.8,2.5,44.03,23.34
RM19-2765,CLA,HIF 6,2020,3,25,65,p,46,T,NA,NA,1079.3,16.6,NA,45.02,23.04
RM19-2768,CLA,HIF 6,2020,1,26,5,p,42,T,4.5,44,1097.9,14.6,3,49.07,19.99
RM19-2768,CLA,HIF 6,2020,2,26,55,p,45,T,4,50,1555.9,16.2,2.5,48.35,20.52
RM19-2768,CLA,HIF 6,2020,3,26,70,p,42,T,NA,NA,1041.8,15,NA,49.35,20
RM19-2774,CLA,HIF 6,2020,1,27,4,p,53,G,4,40,1019.3,13.2,3.5,48.17,18.74
RM19-2774,CLA,HIF 6,2020,2,27,41,p,60,G,3,38,534.3,11.5,4,49.29,18.03
RM19-2774,CLA,HIF 6,2020,3,27,66,p,53,G,NA,NA,875.9,13.3,NA,49.55,18.22
Ellis,CLA,HIF 6,2020,1,28,1,w,42,G,1.5,32,1854.7,13.1,2,42.52,21.74
Ellis,CLA,HIF 6,2020,2,28,38,w,38,G,1,26,1323.4,11.8,2,42.3,21.76
Ellis,CLA,HIF 6,2020,3,28,87,w,58,G,NA,NA,1241.3,12.7,NA,43.03,21.5
Osage,CLA,HIF 6,2020,1,29,18,p,42,G,1.5,28,1659.9,14.1,2,44.84,20.54
Osage,CLA,HIF 6,2020,2,29,53,p,42,G,1.5,28,1647.1,14,2,45.34,20.79
Osage,CLA,HIF 6,2020,3,29,77,p,58,G,NA,NA,1515.5,14.8,NA,45.45,20.82
Dunphy,CLA,HIF 6,2020,1,30,15,p,51,G,1.5,32,2042.9,16.4,2,40.45,22.2
Dunphy,CLA,HIF 6,2020,2,30,58,p,53,G,2,30,1571.1,16.5,2,40.79,22.31
Dunphy,CLA,HIF 6,2020,3,30,74,p,58,G,NA,NA,1539.1,15.9,NA,41.12,21.75
N19-0302,CLA,LO-HP 5,2020,1,1,2,p,64,T,2.5,32,1136.4,15.5,2.5,50.04,18.14
N19-0302,CLA,LO-HP 5,2020,2,1,38,p,61,T,2.5,40,1183.4,17,2.5,50.97,16.93
N19-0302,CLA,LO-HP 5,2020,3,1,56,p,53,T,NA,NA,1368.7,16.5,NA,48.14,20.08
N19-0306,CLA,LO-HP 5,2020,1,2,11,p,48,T,2,32,1611.6,17.2,2,49.26,20.35
N19-0306,CLA,LO-HP 5,2020,2,2,22,p,50,T,2,30,1295.4,17.7,2,48.63,20.21
N19-0306,CLA,LO-HP 5,2020,3,2,60,p,48,T,NA,NA,1158.2,17.9,NA,49.46,20.34
N19-0307,CLA,LO-HP 5,2020,1,3,15,s,51,T,2,37,1479,15.4,2.5,48.41,18.16
N19-0307,CLA,LO-HP 5,2020,2,3,24,s,50,T,2.5,36,1489.5,14.3,2,48.07,18.49
N19-0307,CLA,LO-HP 5,2020,3,3,43,s,53,T,NA,NA,1564.6,14.5,NA,49.17,18.21
N19-0318,CLA,LO-HP 5,2020,1,4,7,w,60,T,1.5,36,1041.5,15.4,2,50.48,18.99
N19-0318,CLA,LO-HP 5,2020,2,4,32,w,60,T,1.5,35,1399.7,14.8,3,50.6,18.79
N19-0318,CLA,LO-HP 5,2020,3,4,45,w,58,T,NA,NA,1413.4,15.8,NA,49.68,19.29
N19-0338,CLA,LO-HP 5,2020,1,5,13,w,50,G,2,34,1569.4,17.2,2,48,19.4
N19-0338,CLA,LO-HP 5,2020,2,5,34,w,58,G,2,33,1298.8,16.4,2,50,18.1
N19-0338,CLA,LO-HP 5,2020,3,5,48,w,52,G,NA,NA,1223.1,17.3,NA,49,19.24
N19-0609,CLA,LO-HP 5,2020,1,6,16,s,58,T,1.5,34,1545.5,15.9,2,45.38,19.94
N19-0609,CLA,LO-HP 5,2020,2,6,30,s,55,T,1.5,32,1622.4,15.7,2.5,46.82,19.66
N19-0609,CLA,LO-HP 5,2020,3,6,59,s,54,T,NA,NA,1185.1,15.8,NA,47.99,19.24
N19-0668,CLA,LO-HP 5,2020,1,7,18,p,47,G,3,34,1564.2,12.1,2.5,45.86,19.22
N19-0668,CLA,LO-HP 5,2020,2,7,33,p,48,G,3,35,1430.4,12.8,2,47.04,18.44
N19-0668,CLA,LO-HP 5,2020,3,7,46,p,42,G,NA,NA,1327.1,12,NA,45.86,19.09
N19-1157,CLA,LO-HP 5,2020,1,8,9,p,58,G,3,33,1264.5,15.8,2,52.49,16.62
N19-1157,CLA,LO-HP 5,2020,2,8,27,p,56,G,3,32,1268,16,2,50.18,18.07
N19-1157,CLA,LO-HP 5,2020,3,8,52,p,55,G,NA,NA,955.5,16.5,NA,52.25,16.8
N19-1161,CLA,LO-HP 5,2020,1,9,19,w,50,T,2,42,1621.9,15.5,2,47.61,18.91
N19-1161,CLA,LO-HP 5,2020,2,9,28,w,64,T,3,40,1339.6,14.5,2,47.87,18.7
N19-1161,CLA,LO-HP 5,2020,3,9,58,w,64,T,NA,NA,1292.1,15.4,NA,48.28,18.8
RM19-3852,CLA,LO-HP 5,2020,1,10,8,s,47,G,1.5,30,1449.1,13.8,2,49.73,17.58
RM19-3852,CLA,LO-HP 5,2020,2,10,31,s,42,G,1,27,1437.7,13.7,2,49.86,17.68
RM19-3852,CLA,LO-HP 5,2020,3,10,55,s,40,G,NA,NA,1339.9,14,NA,47.99,18.55
RM19-3862,CLA,LO-HP 5,2020,1,11,1,p,64,T,2.5,38,1344.5,17.1,2.5,52.26,17.6
RM19-3862,CLA,LO-HP 5,2020,2,11,23,p,60,T,3,32,1534.2,17.3,2,52.91,17.66
RM19-3862,CLA,LO-HP 5,2020,3,11,51,p,49,T,NA,NA,1251.7,13.6,NA,50.94,18.19
RM19-3864,CLA,LO-HP 5,2020,1,12,20,p,53,T,1.5,36,1561.5,15.9,2,52.01,18.34
RM19-3864,CLA,LO-HP 5,2020,2,12,37,p,50,T,2,38,1254.2,15.5,2.5,52.8,17.46
RM19-3864,CLA,LO-HP 5,2020,3,12,50,p,50,T,NA,NA,1352,14.7,NA,50.99,18.16
RM19-3865,CLA,LO-HP 5,2020,1,13,10,p,53,T,3.5,36,1416.4,16.6,2,51.71,17.52
RM19-3865,CLA,LO-HP 5,2020,2,13,21,p,55,T,2.5,36,1475.9,16.6,2,51.19,17.82
RM19-3865,CLA,LO-HP 5,2020,3,13,54,p,53,T,NA,NA,1068.7,15.2,NA,52.15,16.96
RM19-3880,CLA,LO-HP 5,2020,1,14,4,p,52,G,2.5,33,1038.1,13,2.5,46.96,19.26
RM19-3880,CLA,LO-HP 5,2020,2,14,25,p,49,G,3.5,31,1304.5,12.3,2,47.13,19.26
RM19-3880,CLA,LO-HP 5,2020,3,14,49,p,50,G,NA,NA,1297.6,13.8,NA,48.5,18.45
RM19-3882,CLA,LO-HP 5,2020,1,15,17,w,56,T,3.5,40,1460.6,15.2,2,47.63,18.72
RM19-3882,CLA,LO-HP 5,2020,2,15,29,w,55,T,3,42,1370,14.9,2,49.39,18.33
RM19-3882,CLA,LO-HP 5,2020,3,15,57,w,55,T,NA,NA,1325,15.7,NA,49.83,17.86
RM19-3883,CLA,LO-HP 5,2020,1,16,12,s,48,G,2,38,1492.6,15.5,2,48.04,18.61
RM19-3883,CLA,LO-HP 5,2020,2,16,36,s,52,G,2,36,1435.8,15.1,2.5,49.91,17.43
RM19-3883,CLA,LO-HP 5,2020,3,16,47,s,49,G,NA,NA,1129.8,14.2,NA,48.2,18.63
Ellis,CLA,LO-HP 5,2020,1,18,5,w,49,G,1.5,27,1219.7,12.1,2,42.22,21.51
Ellis,CLA,LO-HP 5,2020,2,18,35,w,52,G,1.5,30,1447.3,13.2,2,43.58,20.64
Ellis,CLA,LO-HP 5,2020,3,18,44,w,52,G,NA,NA,1184.2,13.3,NA,44.23,20.51
Osage,CLA,LO-HP 5,2020,1,19,14,p,48,G,1.5,28,1534.8,14,2,45.95,19.96
Osage,CLA,LO-HP 5,2020,2,19,40,p,51,G,1.5,26,893.2,12.3,3.5,47.42,19.05
Osage,CLA,LO-HP 5,2020,3,19,53,p,50,G,NA,NA,1071.6,13.9,NA,47.29,19.91
N16-600,CLA,LO-HP 5,2020,1,20,6,p,50,T,1.5,34,1561.1,13.5,2,46.57,20.65
N16-600,CLA,LO-HP 5,2020,2,20,26,p,49,T,2,34,1493.4,13,2,47.14,19.93
N16-600,CLA,LO-HP 5,2020,3,20,42,p,50,T,NA,NA,1566.3,13.6,NA,48.67,19.75
N19-0076,CLA,LO-HP 6,2020,1,1,1,w,55,T,1.5,33,1027.6,14.4,2,50.56,19.06
N19-0076,CLA,LO-HP 6,2020,2,1,26,w,58,T,2.5,37,1448.8,15.7,2,49.89,19.16
N19-0076,CLA,LO-HP 6,2020,3,1,54,w,52,T,NA,NA,1152.6,14.5,NA,49.65,19.11
N19-0269,CLA,LO-HP 6,2020,1,2,10,p,53,T,1.5,36,1172.1,13.6,1,50.09,19.1
N19-0269,CLA,LO-HP 6,2020,2,2,39,p,51,T,2,38,1112.3,13,1,51.02,18.42
N19-0269,CLA,LO-HP 6,2020,3,2,58,p,52,T,NA,NA,1161.5,13.5,NA,49.58,19.12
N19-0323,CLA,LO-HP 6,2020,1,3,20,w,50,T,1.5,32,1631.1,15.2,2,46.26,20.45
N19-0323,CLA,LO-HP 6,2020,2,3,34,w,51,T,1.5,34,1518.6,15.5,2,47.54,19.35
N19-0323,CLA,LO-HP 6,2020,3,3,57,w,50,T,NA,NA,1373.8,15,NA,47.35,19.58
N19-0323-2,CLA,LO-HP 6,2020,1,4,2,w,50,T,1.5,33,1692.5,15.4,2,47.04,19.53
N19-0323-2,CLA,LO-HP 6,2020,2,4,22,w,50,T,1.5,34,1523,15.2,2,45.32,20.53
N19-0323-2,CLA,LO-HP 6,2020,3,4,45,w,52,T,NA,NA,1599.8,15.5,NA,48.27,18.89
N19-0435,CLA,LO-HP 6,2020,1,5,8,s,55,G,2.5,38,1445.9,15.1,2,48.14,18.88
N19-0435,CLA,LO-HP 6,2020,2,5,21,s,56,G,2.5,40,1538.4,15.1,2,48.26,19.33
N19-0435,CLA,LO-HP 6,2020,3,5,41,s,58,G,NA,NA,1245.2,13.5,NA,49.58,17.95
N19-0672,CLA,LO-HP 6,2020,1,6,5,p,52,G,1.5,37,1587.6,13.2,2,46.45,19.63
N19-0672,CLA,LO-HP 6,2020,2,6,32,p,50,G,1.5,38,1384.8,12.5,2,47.37,18.87
N19-0672,CLA,LO-HP 6,2020,3,6,44,p,49,G,NA,NA,940.8,13.4,NA,46.19,19.36
N19-0676,CLA,LO-HP 6,2020,1,7,7,p,55,G,1,31,1373.2,17.2,2,46.63,19.78
N19-0676,CLA,LO-HP 6,2020,2,7,28,p,55,G,1,29,1100.9,14.8,2,45.58,20.06
N19-0676,CLA,LO-HP 6,2020,3,7,51,p,52,G,NA,NA,1475.6,16.2,NA,46.34,20.14
N19-0898,CLA,LO-HP 6,2020,1,8,14,w,61,T,2.5,35,1309.7,15.8,2,50.64,16.98
N19-0898,CLA,LO-HP 6,2020,2,8,29,w,59,T,2.5,36,1377.8,15.2,2,50.55,17.73
N19-0898,CLA,LO-HP 6,2020,3,8,50,w,60,T,NA,NA,1231.4,14.4,NA,48.89,18.03
N19-0899,CLA,LO-HP 6,2020,1,9,16,p,61,G,2.5,56,1482.6,14.8,2,44.29,20.82
N19-0899,CLA,LO-HP 6,2020,2,9,30,p,60,G,2,54,1625.8,15.5,2,43.99,21.65
N19-0899,CLA,LO-HP 6,2020,3,9,49,p,56,G,NA,NA,1321.3,16,NA,44.41,20.68
N19-0905,CLA,LO-HP 6,2020,1,10,9,p,61,T,2,53,1189.2,18,2.5,46.34,19.93
N19-0905,CLA,LO-HP 6,2020,2,10,31,p,61,T,2,50,849.8,15.1,3,46.84,18.99
N19-0905,CLA,LO-HP 6,2020,3,10,42,p,60,T,NA,NA,918.9,17.3,NA,46.3,19.85
N19-1159,CLA,LO-HP 6,2020,1,11,11,w,64,T,2.5,42,1364.5,17,2.5,45.94,19.38
N19-1159,CLA,LO-HP 6,2020,2,11,38,w,66,T,2.5,34,1583.9,16.3,2.5,46.77,19.31
N19-1159,CLA,LO-HP 6,2020,3,11,53,w,65,T,NA,NA,1183.4,15.9,NA,45.09,19.76
RM19-3863,CLA,LO-HP 6,2020,1,12,6,s,53,G,3.5,32,726.7,5.6,2,46.68,17.64
RM19-3863,CLA,LO-HP 6,2020,2,12,24,s,51,G,3,29,456.9,5.4,2,45.92,17.59
RM19-3863,CLA,LO-HP 6,2020,3,12,60,s,54,G,NA,NA,390.7,5.7,NA,45.99,17.8
RM19-3867,CLA,LO-HP 6,2020,1,13,19,p,48,T,2,40,1714.1,17.6,2,51.46,18.47
RM19-3867,CLA,LO-HP 6,2020,2,13,33,p,50,T,2,37,1246.2,16.6,2,51,18.33
RM19-3867,CLA,LO-HP 6,2020,3,13,46,p,60,T,NA,NA,966.1,18.1,NA,53.68,16.9
RM19-3873,CLA,LO-HP 6,2020,1,14,12,p,58,T,3.5,35,1659.4,13.2,2,48.95,18.96
RM19-3873,CLA,LO-HP 6,2020,2,14,40,p,63,T,2.5,36,1005,14.2,2.5,51.71,17.09
RM19-3873,CLA,LO-HP 6,2020,3,14,43,p,65,T,NA,NA,1403.5,14.6,NA,50.92,17.55
RM19-3875,CLA,LO-HP 6,2020,1,15,3,w,59,T,2,36,1414.5,15.8,2,49.48,17.7
RM19-3875,CLA,LO-HP 6,2020,2,15,37,w,61,T,2.5,38,1364.9,16.2,2,51.37,17.42
RM19-3875,CLA,LO-HP 6,2020,3,15,59,w,61,T,NA,NA,1013.2,14.5,NA,50.42,17.79
RM19-3877,CLA,LO-HP 6,2020,1,16,17,p,56,G,2.5,40,1815.3,14.4,2,49.02,18.01
RM19-3877,CLA,LO-HP 6,2020,2,16,23,p,56,G,2.5,36,1308.1,14.6,2,49.39,17.54
RM19-3877,CLA,LO-HP 6,2020,3,16,48,p,61,G,NA,NA,1205.8,16.4,NA,50.06,17.76
Dunphy,CLA,LO-HP 6,2020,1,17,4,p,57,G,1.5,31,1670.2,15.5,2,41.94,21.46
Dunphy,CLA,LO-HP 6,2020,2,17,36,p,53,G,1.5,33,1576.4,15.8,2,41.91,21.68
Dunphy,CLA,LO-HP 6,2020,3,17,52,p,55,G,NA,NA,1126.4,15.7,NA,43.17,20.73
Dilday,CLA,LO-HP 6,2020,1,18,15,p,55,G,2.5,36,1539.3,15.4,2,41.34,22.8
Dilday,CLA,LO-HP 6,2020,2,18,35,p,55,G,2,38,1489.3,14.5,2.5,41.46,22.53
Dilday,CLA,LO-HP 6,2020,3,18,56,p,55,G,NA,NA,1553.3,16.2,NA,41.04,23.01
N16-607,CLA,LO-HP 6,2020,1,19,13,p,49,T,2.5,37,1393.8,14.3,2,47.26,19.96
N16-607,CLA,LO-HP 6,2020,2,19,27,p,48,T,3,36,1450.4,13.3,2,46.49,20.38
N16-607,CLA,LO-HP 6,2020,3,19,55,p,52,T,NA,NA,1362.4,14.5,NA,46.67,20.8
Young,CLA,LO-HP 6,2020,1,20,18,w,55,G,2,42,1273,13.4,2,44.56,20.23
Young,CLA,LO-HP 6,2020,2,20,25,w,56,G,2,42,1282.5,14.8,2,46.07,19.81
Young,CLA,LO-HP 6,2020,3,20,47,w,55,G,NA,NA,1172.3,14.8,NA,46.4,20.24
N19-0004,CLA,LP 5E,2020,1,1,40,w,50,T,1.5,40,1547.3,15,1.5,43.05,22.83
N19-0004,CLA,LP 5E,2020,2,1,52,w,49,T,1.5,37,1312.1,15.5,2,44.66,22.51
N19-0004,CLA,LP 5E,2020,3,1,100,w,NA,T,NA,NA,1572.8,15.9,1.5,44.57,22.44
N19-0006,CLA,LP 5E,2020,1,2,42,p,47,T,2,43,1238.1,14.1,1.5,42.93,22.44
N19-0006,CLA,LP 5E,2020,2,2,89,p,55,T,1,36,867.5,13.5,1.5,43.91,21.96
N19-0006,CLA,LP 5E,2020,3,2,104,p,NA,T,NA,NA,1598.8,13.4,1.5,43.35,22.4
N19-0008,CLA,LP 5E,2020,1,3,36,w,41,T,2,35,1513.1,17.5,2,46.77,21.39
N19-0008,CLA,LP 5E,2020,2,3,82,w,42,T,2,31,906.2,16.1,2,47.24,20.56
N19-0008,CLA,LP 5E,2020,3,3,110,w,NA,T,NA,NA,1671.6,19.1,2,47.14,20.32
N19-0030,CLA,LP 5E,2020,1,4,13,w,49,T,2,37,1344.7,15.1,1.5,45.86,20.73
N19-0030,CLA,LP 5E,2020,2,4,58,w,52,T,2,42,1440.5,16,1.5,46.41,19.73
N19-0030,CLA,LP 5E,2020,3,4,135,w,NA,T,NA,NA,1607.9,15.8,1.5,45.96,20.26
N19-0031,CLA,LP 5E,2020,1,5,15,w,46,T,2.5,41,2041.9,15.9,1.5,45.14,21.82
N19-0031,CLA,LP 5E,2020,2,5,49,w,42,T,2,35,1478.8,15.5,1.5,45.63,21.19
N19-0031,CLA,LP 5E,2020,3,5,130,w,NA,T,NA,NA,1695.1,16,2,48.18,20.57
N19-0034,CLA,LP 5E,2020,1,6,39,w,41,T,1.5,34,1474.8,15.3,2,45.71,21.43
